 Total (p,pp) knockout cross section (mb)                                       
  
     28.731
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
   219.616         0.134384E-01     0.108796         0.265161E-01     0.159219    
   222.894         0.130580E-01     0.105882         0.254632E-01     0.157059    
   226.172         0.123323E-01     0.102920         0.244056E-01     0.154605    
   229.450         0.116516E-01     0.999250E-01     0.233203E-01     0.151881    
   232.728         0.113274E-01     0.969084E-01     0.223322E-01     0.148914    
   236.006         0.107096E-01     0.938829E-01     0.213805E-01     0.145729    
   239.284         0.104156E-01     0.908597E-01     0.204380E-01     0.142353    
   242.561         0.985571E-02     0.878492E-01     0.195211E-01     0.138811    
   245.839         0.933173E-02     0.848609E-01     0.186340E-01     0.135129    
   249.117         0.908254E-02     0.819036E-01     0.177867E-01     0.131332    
   252.395         0.860847E-02     0.789849E-01     0.169545E-01     0.127444    
   255.673         0.838311E-02     0.761120E-01     0.161388E-01     0.123488    
   258.951         0.795452E-02     0.732908E-01     0.154174E-01     0.119485    
   262.229         0.755391E-02     0.705265E-01     0.146942E-01     0.115456    
   265.506         0.736355E-02     0.678238E-01     0.140166E-01     0.111420    
   268.784         0.700162E-02     0.651862E-01     0.133202E-01     0.107395    
   272.062         0.666342E-02     0.626168E-01     0.126820E-01     0.103398    
   275.340         0.650273E-02     0.601179E-01     0.120526E-01     0.994431E-01
   278.618         0.619721E-02     0.576914E-01     0.114754E-01     0.955436E-01
   281.896         0.605202E-02     0.553382E-01     0.109245E-01     0.917117E-01
   285.174         0.577594E-02     0.530591E-01     0.103877E-01     0.879576E-01
   288.451         0.551782E-02     0.508543E-01     0.986915E-02     0.842904E-01
   291.729         0.539511E-02     0.487236E-01     0.937341E-02     0.807177E-01
   295.007         0.516163E-02     0.466663E-01     0.890136E-02     0.772458E-01
   298.285         0.505058E-02     0.446817E-01     0.845444E-02     0.738798E-01
   301.563         0.483919E-02     0.427684E-01     0.801886E-02     0.706236E-01
   304.841         0.464122E-02     0.409253E-01     0.760788E-02     0.674799E-01
   308.119         0.454697E-02     0.391506E-01     0.722576E-02     0.644506E-01
   311.396         0.436736E-02     0.374426E-01     0.686270E-02     0.615365E-01
   314.674         0.419889E-02     0.357996E-01     0.651258E-02     0.587378E-01
   317.952         0.411858E-02     0.342196E-01     0.617390E-02     0.560536E-01
   321.230         0.396532E-02     0.327005E-01     0.586228E-02     0.534827E-01
   324.508         0.389219E-02     0.312406E-01     0.554880E-02     0.510231E-01
   327.786         0.375251E-02     0.298376E-01     0.525982E-02     0.486723E-01
   331.064         0.362105E-02     0.284896E-01     0.498127E-02     0.464276E-01
   334.341         0.355822E-02     0.271946E-01     0.472151E-02     0.442856E-01
   337.619         0.343798E-02     0.259506E-01     0.447677E-02     0.422430E-01
   340.897         0.338045E-02     0.247558E-01     0.422970E-02     0.402961E-01
   344.175         0.327022E-02     0.236084E-01     0.400798E-02     0.384409E-01
   347.453         0.316607E-02     0.225064E-01     0.378642E-02     0.366737E-01
   350.731         0.311613E-02     0.214483E-01     0.357637E-02     0.349903E-01
   354.009         0.302027E-02     0.204324E-01     0.338171E-02     0.333868E-01
   357.286         0.292943E-02     0.194571E-01     0.320073E-02     0.318591E-01
   360.564         0.288578E-02     0.185209E-01     0.302461E-02     0.304035E-01
   363.842         0.280182E-02     0.176224E-01     0.285533E-02     0.290161E-01
   367.120         0.276142E-02     0.167603E-01     0.269617E-02     0.276932E-01
   370.398         0.268361E-02     0.159332E-01     0.254224E-02     0.264311E-01
   373.676         0.260955E-02     0.151400E-01     0.240198E-02     0.252267E-01
   376.954         0.257384E-02     0.143794E-01     0.226143E-02     0.240765E-01
   380.231         0.250492E-02     0.136504E-01     0.213327E-02     0.229774E-01
   383.509         0.247165E-02     0.129520E-01     0.201121E-02     0.219267E-01
   386.787         0.240735E-02     0.122831E-01     0.189242E-02     0.209216E-01
   390.065         0.234588E-02     0.116428E-01     0.178066E-02     0.199595E-01
   393.343         0.231615E-02     0.110301E-01     0.167904E-02     0.190382E-01
   396.621         0.225858E-02     0.104442E-01     0.157927E-02     0.181553E-01
   399.899         0.220341E-02     0.988417E-02     0.148544E-02     0.173089E-01
   403.176         0.217667E-02     0.934929E-02     0.139408E-02     0.164971E-01
   406.454         0.212481E-02     0.883871E-02     0.131355E-02     0.157182E-01
   409.732         0.209965E-02     0.835167E-02     0.123283E-02     0.149706E-01
   413.010         0.205080E-02     0.788742E-02     0.115850E-02     0.142529E-01
   416.288         0.200382E-02     0.744522E-02     0.109083E-02     0.135639E-01
   419.566         0.198099E-02     0.702434E-02     0.102343E-02     0.129022E-01
   422.844         0.193659E-02     0.662409E-02     0.961121E-03     0.122669E-01
   426.121         0.191500E-02     0.624376E-02     0.900615E-03     0.116568E-01
   429.399         0.187299E-02     0.588267E-02     0.845561E-03     0.110712E-01
   432.677         0.183245E-02     0.554015E-02     0.794348E-03     0.105091E-01
   435.955         0.181271E-02     0.521552E-02     0.746708E-03     0.996984E-02
   439.233         0.177425E-02     0.490813E-02     0.701376E-03     0.945261E-02
   442.511         0.173707E-02     0.461732E-02     0.657573E-03     0.895677E-02
   445.789         0.171895E-02     0.434244E-02     0.617490E-03     0.848171E-02
   449.066         0.168360E-02     0.408288E-02     0.578886E-03     0.802681E-02
   452.344         0.166636E-02     0.383799E-02     0.543609E-03     0.759153E-02
   455.622         0.163270E-02     0.360715E-02     0.510996E-03     0.717531E-02
   458.900         0.160010E-02     0.338977E-02     0.479368E-03     0.677763E-02
   462.178         0.158418E-02     0.318522E-02     0.450142E-03     0.639798E-02
   465.456         0.155309E-02     0.299294E-02     0.423025E-03     0.603585E-02
   468.734         0.153790E-02     0.281233E-02     0.398186E-03     0.569075E-02
   472.011         0.150820E-02     0.264283E-02     0.374656E-03     0.536218E-02
   475.289         0.147940E-02     0.248389E-02     0.352917E-03     0.504966E-02
   478.567         0.146531E-02     0.233496E-02     0.332381E-03     0.475270E-02
   481.845         0.143777E-02     0.219551E-02     0.313003E-03     0.447081E-02
   485.123         0.141102E-02     0.206503E-02     0.294779E-03     0.420350E-02
   488.401         0.139793E-02     0.194303E-02     0.277858E-03     0.395027E-02
   491.679         0.137231E-02     0.182901E-02     0.262308E-03     0.371063E-02
   494.956         0.135978E-02     0.172252E-02     0.247637E-03     0.348409E-02
   498.234         0.133523E-02     0.162310E-02     0.233578E-03     0.327015E-02
   501.512         0.131136E-02     0.153032E-02     0.220639E-03     0.306832E-02
   504.790         0.129968E-02     0.144376E-02     0.208832E-03     0.287811E-02
   508.068         0.127678E-02     0.136303E-02     0.197822E-03     0.269902E-02
   511.346         0.126556E-02     0.128774E-02     0.187323E-03     0.253056E-02
   514.624         0.124358E-02     0.121753E-02     0.177522E-03     0.237225E-02
   517.901         0.122219E-02     0.115205E-02     0.168420E-03     0.222362E-02
   521.179         0.121170E-02     0.109098E-02     0.159741E-03     0.208419E-02
   524.457         0.119114E-02     0.103400E-02     0.151661E-03     0.195350E-02
   527.735         0.117112E-02     0.980820E-03     0.144361E-03     0.183109E-02
   531.013         0.116130E-02     0.931161E-03     0.137255E-03     0.171652E-02
   534.291         0.114204E-02     0.884763E-03     0.130554E-03     0.160937E-02
   537.569         0.113259E-02     0.841381E-03     0.124202E-03     0.150920E-02
   540.846         0.111406E-02     0.800784E-03     0.118263E-03     0.141561E-02
   544.124         0.109599E-02     0.762758E-03     0.112621E-03     0.132821E-02
   547.402         0.108712E-02     0.727104E-03     0.107464E-03     0.124661E-02
   550.680         0.106972E-02     0.693635E-03     0.102446E-03     0.117046E-02
   553.958         0.106118E-02     0.662179E-03     0.978013E-04     0.109940E-02
   557.236         0.104441E-02     0.632576E-03     0.932858E-04     0.103311E-02
   560.514         0.102804E-02     0.604678E-03     0.889405E-04     0.971252E-03
   563.791         0.102000E-02     0.578351E-03     0.849119E-04     0.913537E-03
   567.069         0.100422E-02     0.553468E-03     0.811021E-04     0.859676E-03
   570.347         0.988813E-03     0.529915E-03     0.775250E-04     0.809396E-03
   573.625         0.981245E-03     0.507587E-03     0.740059E-04     0.762444E-03
   576.903         0.966373E-03     0.486389E-03     0.707646E-04     0.718579E-03
   580.181         0.959068E-03     0.466232E-03     0.676452E-04     0.677576E-03
   583.459         0.944709E-03     0.447039E-03     0.646020E-04     0.639224E-03
   586.736         0.930678E-03     0.428735E-03     0.617602E-04     0.603326E-03
   590.014         0.923783E-03     0.411257E-03     0.589878E-04     0.569700E-03
   593.292         0.910226E-03     0.394546E-03     0.563334E-04     0.538175E-03
   596.570         0.903563E-03     0.378547E-03     0.538118E-04     0.508593E-03
   599.848         0.890458E-03     0.363213E-03     0.513618E-04     0.480809E-03
   603.126         0.877644E-03     0.348501E-03     0.491325E-04     0.454687E-03
   606.404         0.871343E-03     0.334371E-03     0.469253E-04     0.430105E-03
   609.681         0.858947E-03     0.320790E-03     0.447837E-04     0.406948E-03
   612.959          0.00000         0.307725E-03     0.427542E-04     0.385111E-03
   616.237          0.00000         0.295149E-03     0.407647E-04     0.364499E-03
   619.515          0.00000         0.283037E-03     0.388776E-04     0.345025E-03
   622.793          0.00000         0.271365E-03     0.371286E-04     0.326608E-03
   626.071          0.00000         0.260114E-03     0.354604E-04     0.309176E-03
   629.349          0.00000         0.249265E-03     0.338378E-04     0.292661E-03
   632.626          0.00000         0.238802E-03     0.322275E-04     0.277005E-03
   635.904          0.00000         0.228709E-03     0.307335E-04     0.262151E-03
   639.182          0.00000         0.218974E-03     0.292680E-04     0.248049E-03
   642.460          0.00000         0.209583E-03     0.279117E-04     0.234655E-03
   645.738          0.00000         0.200526E-03     0.265725E-04     0.221926E-03
   649.016          0.00000         0.191792E-03     0.253157E-04     0.209825E-03
   652.294          0.00000         0.183371E-03     0.241020E-04     0.198318E-03
   655.571          0.00000         0.175255E-03     0.229096E-04     0.187372E-03
   658.849          0.00000         0.167434E-03     0.217918E-04     0.176960E-03
   662.127          0.00000         0.159901E-03     0.207269E-04     0.167054E-03
   665.405          0.00000         0.152647E-03     0.197230E-04     0.157630E-03
   668.683          0.00000         0.145666E-03     0.187624E-04     0.148666E-03
   671.961          0.00000         0.138951E-03     0.178379E-04     0.140140E-03
   675.239          0.00000         0.132494E-03     0.169724E-04     0.132034E-03
   678.516          0.00000         0.126288E-03     0.161263E-04     0.124328E-03
   681.794          0.00000         0.120328E-03     0.153439E-04     0.117007E-03
   685.072          0.00000         0.114606E-03     0.145630E-04     0.110053E-03
   688.350          0.00000         0.109117E-03     0.138371E-04     0.103451E-03
   691.628          0.00000         0.103853E-03     0.131372E-04     0.971869E-04
   694.906          0.00000         0.988083E-04     0.124626E-04     0.912464E-04
   698.184          0.00000         0.939772E-04     0.118534E-04     0.856162E-04
   701.461          0.00000         0.893533E-04     0.112603E-04     0.802834E-04
   704.739          0.00000         0.849304E-04     0.106929E-04     0.752354E-04
   708.017          0.00000         0.807025E-04     0.101590E-04     0.704603E-04
   711.295          0.00000         0.766636E-04     0.964226E-05     0.659463E-04
   714.573          0.00000         0.728076E-04     0.915786E-05     0.616823E-04
   717.851          0.00000         0.691287E-04     0.869478E-05     0.576571E-04
   721.129          0.00000         0.656211E-04     0.826499E-05     0.538600E-04
   724.406          0.00000         0.622791E-04     0.785224E-05     0.502808E-04
   727.684          0.00000         0.590968E-04     0.747349E-05     0.469092E-04
   730.962          0.00000         0.560689E-04     0.709486E-05     0.437356E-04
   734.240          0.00000         0.531896E-04     0.673983E-05     0.407503E-04
   737.518          0.00000         0.504536E-04     0.643034E-05     0.379442E-04
   740.796          0.00000         0.478556E-04     0.611385E-05     0.353082E-04
   744.074          0.00000         0.453903E-04     0.582435E-05     0.328338E-04
   747.351          0.00000         0.430527E-04     0.554292E-05     0.305126E-04
   750.629          0.00000         0.408377E-04     0.528484E-05     0.283365E-04
   753.907          0.00000         0.387404E-04     0.503438E-05     0.262977E-04
   757.185          0.00000         0.367560E-04     0.480092E-05     0.243888E-04
   760.463          0.00000         0.348799E-04     0.458527E-05     0.226027E-04
   763.741          0.00000         0.331076E-04     0.437739E-05     0.209324E-04
   767.019          0.00000         0.314345E-04     0.418665E-05     0.193714E-04
   770.296          0.00000         0.298564E-04     0.399503E-05     0.179133E-04
   773.574          0.00000         0.283691E-04     0.382020E-05     0.165523E-04
   776.852          0.00000         0.269685E-04     0.366596E-05     0.152826E-04
   780.130          0.00000         0.256507E-04     0.351336E-05     0.140987E-04
   783.408          0.00000         0.244118E-04     0.336490E-05     0.129956E-04
   786.686          0.00000         0.232482E-04     0.323326E-05     0.119683E-04
   789.964          0.00000         0.221561E-04     0.310424E-05     0.110122E-04
   793.241          0.00000         0.211322E-04     0.297879E-05     0.101229E-04
   796.519          0.00000         0.201730E-04     0.287269E-05     0.929634E-05
   799.797          0.00000         0.192753E-04     0.276919E-05     0.852854E-05
   803.075          0.00000         0.184359E-04     0.266369E-05     0.781584E-05
   806.353          0.00000         0.176519E-04     0.257575E-05     0.715474E-05
   809.631          0.00000         0.169202E-04     0.248237E-05     0.654197E-05
   812.909          0.00000         0.162380E-04     0.239928E-05     0.597444E-05
   816.186          0.00000         0.156026E-04     0.232683E-05     0.544924E-05
   819.464          0.00000         0.150114E-04     0.224794E-05     0.496363E-05
   822.742          0.00000         0.144618E-04     0.218007E-05     0.451503E-05
   826.020          0.00000         0.139514E-04     0.210994E-05     0.410103E-05
   829.298          0.00000         0.134779E-04     0.204396E-05     0.371933E-05
   832.576          0.00000         0.130390E-04     0.199248E-05     0.336780E-05
   835.854          0.00000         0.126326E-04     0.193261E-05     0.304441E-05
   839.131          0.00000         0.122567E-04     0.188212E-05     0.274727E-05
   842.409          0.00000         0.119091E-04     0.182764E-05     0.247459E-05
   845.687          0.00000         0.115882E-04     0.178753E-05     0.222470E-05
   848.965          0.00000         0.112920E-04     0.173839E-05     0.199601E-05
   852.243          0.00000         0.110190E-04     0.169167E-05     0.178704E-05
   855.521          0.00000         0.107673E-04     0.164731E-05     0.159640E-05
   858.799          0.00000         0.105355E-04     0.160958E-05     0.142277E-05
   862.076          0.00000         0.103221E-04     0.156884E-05     0.126494E-05
   865.354          0.00000         0.101257E-04     0.152895E-05     0.112173E-05
   868.632          0.00000         0.994501E-05     0.149087E-05     0.992058E-06
   871.910          0.00000         0.977871E-05     0.145423E-05     0.874914E-06
   875.188          0.00000         0.962565E-05     0.142911E-05     0.769337E-06
   878.466          0.00000         0.948468E-05     0.139495E-05     0.674429E-06
   881.744          0.00000         0.935477E-05     0.136151E-05     0.589351E-06
   885.021          0.00000         0.923492E-05     0.132923E-05     0.513314E-06
   888.299          0.00000         0.912418E-05     0.129758E-05     0.445582E-06
   891.577          0.00000         0.902170E-05     0.126694E-05     0.385465E-06
   894.855          0.00000         0.892664E-05     0.122649E-05     0.332320E-06
   898.133          0.00000         0.883824E-05     0.119708E-05     0.285542E-06
   901.411          0.00000         0.875579E-05     0.116846E-05     0.244572E-06
   904.689          0.00000         0.867863E-05     0.114039E-05     0.208885E-06
   907.966          0.00000         0.860613E-05     0.111269E-05     0.177993E-06
   911.244          0.00000         0.853772E-05     0.108031E-05     0.151441E-06
   914.522          0.00000         0.847288E-05     0.105352E-05     0.128809E-06
   917.800          0.00000         0.841111E-05     0.101658E-05     0.109703E-06
   921.078          0.00000         0.835198E-05     0.990598E-06     0.937594E-07
   924.356          0.00000         0.829506E-05     0.959597E-06     0.806424E-07
   927.634          0.00000         0.824000E-05     0.923944E-06     0.700403E-07
   930.911          0.00000         0.818644E-05     0.899149E-06     0.616655E-07
   934.189          0.00000         0.813407E-05     0.869314E-06     0.552531E-07
   937.467          0.00000         0.808262E-05     0.834345E-06     0.505592E-07
   940.745          0.00000         0.803184E-05     0.805220E-06     0.473601E-07
   944.023          0.00000         0.798150E-05     0.770976E-06     0.454511E-07
   947.301          0.00000         0.793141E-05     0.731688E-06     0.446448E-07
   950.579          0.00000         0.788139E-05     0.703272E-06     0.447710E-07
   953.856          0.00000         0.783129E-05     0.664559E-06     0.456750E-07
   957.134          0.00000         0.778097E-05     0.631511E-06     0.472167E-07
   960.412          0.00000         0.773033E-05     0.593607E-06     0.492701E-07
   963.690          0.00000         0.767928E-05     0.550611E-06     0.517222E-07
   966.968          0.00000         0.762772E-05     0.513288E-06     0.544720E-07
   970.246          0.00000         0.757561E-05     0.465766E-06     0.574298E-07
   973.524          0.00000         0.752288E-05     0.413416E-06     0.605168E-07
   976.801          0.00000         0.746952E-05     0.361576E-06     0.636636E-07
   980.079          0.00000         0.741548E-05     0.304987E-06     0.668103E-07
   983.357          0.00000         0.736076E-05     0.238525E-06     0.699051E-07
   986.635          0.00000         0.730536E-05     0.130499E-06     0.729042E-07
